HS 1996;HS 1992
10111;10111
10119;10119
10120;10120
10210;10210
10290;10290
10310;10310
10391;10391
10392;10392
10410;10410
10420;10420
10511;10511
10512;10519
10519;10519
10592;10591
10593;10591
10599;10599
10600;10600
20110;20110
20120;20120
20130;20130
20210;20210
20220;20220
20230;20230
20311;20311
20312;20312
20319;20319
20321;20321
20322;20322
20329;20329
20410;20410
20421;20421
20422;20422
20423;20423
20430;20430
20441;20441
20442;20442
20443;20443
20450;20450
20500;20500
20610;20610
20621;20621
20622;20622
20629;20629
20630;20630
20641;20641
20649;20649
20680;20680
20690;20690
20711;20710
20712;20721
20713;20739
20714;20741
20714;20750
20724;20710
20725;20722
20726;20739
20727;20742
20727;20750
20732;20710
20733;20723
20734;20731
20735;20739
20736;20743
20736;20750
20810;20810
20820;20820
20890;20890
20900;20900
21011;21011
21012;21012
21019;21019
21020;21020
21090;21090
30110;30110
30191;30191
30191;30199
30192;30192
30193;30193
30199;30199
30211;30211
30211;30219
30212;30212
30219;30219
30221;30221
30222;30222
30223;30223
30229;30229
30231;30231
30232;30232
30233;30233
30239;30239
30240;30240
30250;30250
30261;30261
30262;30262
30263;30263
30264;30264
30265;30265
30266;30266
30269;30269
30270;30270
30310;30310
30321;30321
30321;30329
30322;30322
30329;30329
30331;30331
30332;30332
30333;30333
30339;30339
30341;30341
30342;30342
30343;30343
30349;30349
30350;30350
30360;30360
30371;30371
30372;30372
30373;30373
30374;30374
30375;30375
30376;30376
30377;30377
30378;30378
30379;30379
30380;30380
30410;30410
30420;30420
30490;30490
30510;30510
30520;30520
30530;30530
30541;30541
30542;30542
30549;30549
30551;30551
30559;30559
30561;30561
30562;30562
30563;30563
30569;30569
30611;30611
30612;30612
30613;30613
30614;30614
30619;30619
30621;30621
30622;30622
30623;30623
30624;30624
30629;30629
30710;30710
30721;30721
30729;30729
30731;30731
30739;30739
30741;30741
30749;30749
30751;30751
30759;30759
30760;30760
30791;30791
30799;30799
40110;40110
40120;40120
40130;40130
40210;40210
40221;40221
40229;40229
40291;40291
40299;40299
40310;40310
40390;40390
40410;40410
40490;40490
40510;40500
40520;40500
40520;210690
40590;40500
40610;40610
40620;40620
40630;40630
40640;40640
40690;40690
40700;40700
40811;40811
40819;40819
40891;40891
40899;40899
40900;40900
41000;41000
50100;50100
50210;50210
50290;50290
50300;50300
50400;50400
50510;50510
50590;50590
50610;50610
50690;50690
50710;50710
50790;50790
50800;50800
50900;50900
51000;51000
51110;51110
51191;51191
51199;51199
60110;60110
60120;60120
60210;60210
60220;60220
60230;60230
60240;60240
60290;60291
60290;60299
60310;60310
60390;60390
60410;60410
60491;60491
60499;60499
70110;70110
70190;70190
70200;70200
70310;70310
70320;70320
70390;70390
70410;70410
70420;70420
70490;70490
70511;70511
70519;70519
70521;70521
70529;70529
70610;70610
70690;70690
70700;70700
70810;70810
70820;70820
70890;70890
70910;70910
70920;70920
70930;70930
70940;70940
70951;70951
70952;70952
70960;70960
70970;70970
70990;70990
71010;71010
71021;71021
71022;71022
71029;71029
71030;71030
71040;71040
71080;71080
71090;71090
71110;71110
71120;71120
71130;71130
71140;71140
71190;71190
71220;71220
71230;71230
71290;71210
71290;71290
71310;71310
71320;71320
71331;71331
71332;71332
71333;71333
71339;71339
71340;71340
71350;71350
71390;71390
71410;71410
71410;200899
71420;71420
71420;200899
71490;71490
71490;200899
80111;80110
80119;80110
80121;80120
80122;80120
80131;80130
80132;80130
80211;80211
80212;80212
80221;80221
80222;80222
80231;80231
80232;80232
80240;80240
80250;80250
80290;80290
80300;80300
80410;80410
80420;80420
80430;80430
80440;80440
80450;80450
80510;80510
80520;80520
80530;80530
80540;80540
80590;80590
80610;80610
80620;80620
80711;80710
80719;80710
80720;80720
80810;80810
80820;80820
80910;80910
80920;80920
80930;80930
80940;80940
81010;81010
81020;81020
81030;81030
81040;81040
81050;81090
81090;81090
81110;81110
81120;81120
81190;81190
81210;81210
81220;81220
81290;81290
81310;81310
81320;81320
81330;81330
81340;81340
81350;81350
81400;81400
90111;90111
90112;90112
90121;90121
90122;90122
90190;90130
90190;90140
90210;90210
90220;90220
90230;90230
90240;90240
90300;90300
90411;90411
90412;90412
90420;90420
90500;90500
90610;90610
90620;90620
90700;90700
90810;90810
90820;90820
90830;90830
90910;90910
90920;90920
90930;90930
90940;90940
90950;90950
91010;91010
91020;91020
91030;91030
91040;91040
91050;91050
91091;91091
91099;91099
100110;100110
100190;100190
100200;100200
100300;100300
100400;100400
100510;100510
100590;100590
100610;100610
100620;100620
100630;100630
100640;100640
100700;100700
100810;100810
100820;100820
100830;100830
100890;100890
110100;110100
110210;110210
110220;110220
110230;110230
110290;110290
110311;110311
110312;110312
110313;110313
110314;110314
110319;110319
110321;110321
110329;110329
110411;110411
110412;110412
110419;110419
110421;110421
110422;110422
110423;110423
110429;110429
110430;110430
110510;110510
110520;110520
110610;110610
110620;110620
110630;110630
110710;110710
110720;110720
110811;110811
110812;110812
110813;110813
110814;110814
110819;110819
110820;110820
110900;110900
120100;120100
120210;120210
120220;120220
120300;120300
120400;120400
120500;120500
120600;120600
120710;120710
120720;120720
120730;120730
120740;120740
120750;120750
120760;120760
120791;120791
120792;120792
120799;120799
120810;120810
120890;120890
120911;120911
120919;120919
120921;120921
120922;120922
120923;120923
120924;120924
120925;120925
120926;120926
120929;120929
120930;120930
120991;120991
120999;120999
121010;121010
121020;121020
121110;121110
121120;121120
121190;121190
121210;121210
121220;121220
121220;200899
121230;121230
121291;121291
121292;121292
121299;121299
121300;121300
121410;121410
121490;121490
130110;130110
130120;130120
130190;130190
130211;130211
130212;130212
130213;130213
130214;130214
130219;130219
130219;330190
130220;130220
130231;130231
130232;130232
130239;130239
140110;140110
140120;140120
140190;140190
140210;140210
140290;140291
140290;140299
140310;140310
140390;140390
140410;140410
140420;140420
140490;140490
150100;150100
150200;150200
150300;150300
150410;150410
150420;150420
150430;150430
150510;150510
150590;150590
150600;150600
150710;150710
150790;150790
150810;150810
150890;150890
150910;150910
150990;150990
151000;151000
151110;151110
151190;151190
151211;151211
151219;151219
151221;151221
151229;151229
151311;151311
151319;151319
151321;151321
151329;151329
151410;151410
151490;151490
151511;151511
151519;151519
151521;151521
151529;151529
151530;151530
151540;151540
151550;151550
151560;151560
151590;151590
151610;151610
151620;151620
151710;151710
151790;151790
151800;151800
152000;152010
152110;152110
152190;152190
152200;152200
160100;160100
160210;160210
160220;160220
160231;160231
160232;160239
160239;160239
160241;160241
160242;160242
160249;160249
160250;160250
160290;160290
160300;160300
160411;160411
160412;160412
160413;160413
160414;160414
160415;160415
160416;160416
160419;160419
160420;160420
160430;160430
160510;160510
160520;160520
160530;160530
160540;160540
160590;160590
170111;170111
170112;170112
170191;170191
170199;170199
170211;170210
170219;170210
170220;170220
170230;170230
170240;170240
170250;170250
170260;170260
170290;170290
170310;170310
170390;170390
170410;170410
170490;170490
180100;180100
180200;180200
180310;180310
180320;180320
180400;180400
180500;180500
180610;180610
180620;180620
180631;180631
180632;180632
180690;180690
180690;190110
180690;190120
180690;190190
180690;190410
180690;190490
190110;190110
190120;190120
190190;190190
190211;190211
190219;190219
190220;190220
190230;190230
190240;190240
190300;190300
190410;190410
190420;190410
190420;200892
190490;190490
190510;190510
190520;190520
190530;190530
190540;190540
190590;190590
200110;200110
200120;200120
200190;200190
200210;200210
200290;200290
200310;200310
200320;200320
200410;200410
200490;200490
200510;200510
200520;200520
200540;200540
200551;200551
200559;200559
200560;200560
200570;200570
200580;200580
200590;200530
200590;200590
200600;200490
200600;200540
200600;200551
200600;200559
200600;200560
200600;200570
200600;200580
200600;200590
200600;200600
200710;200710
200791;200791
200799;200799
200811;200811
200819;200819
200820;200820
200830;200830
200840;200840
200850;200850
200860;200860
200870;200870
200880;200880
200891;200891
200892;200892
200899;200899
200911;200911
200919;200919
200920;200920
200930;200930
200940;200940
200950;200950
200960;200960
200970;200970
200980;200980
200990;200990
210111;210110
210112;210110
210120;210120
210130;210130
210210;210210
210220;210220
210230;210230
210310;210310
210320;210320
210330;210330
210390;210390
210410;210410
210420;210420
210500;210500
210610;210610
210690;210690
210690;220810
220110;220110
220190;220190
220210;220210
220290;220290
220300;220300
220410;220410
220421;220421
220429;220429
220430;220430
220510;220510
220590;220590
220600;220600
220710;220710
220720;220720
220820;220820
220830;220830
220840;220840
220850;220850
220860;220890
220870;220890
220890;220890
220900;220900
230110;230110
230120;230120
230210;230210
230220;230220
230230;230230
230240;230240
230250;230250
230310;230310
230320;230320
230330;230330
230400;230400
230500;230500
230610;230610
230620;230620
230630;230630
230640;230640
230650;230650
230660;230660
230670;230690
230690;230690
230700;230700
230810;230810
230890;230890
230910;230910
230990;230990
240110;240110
240120;240120
240130;240130
240210;240210
240220;240220
240290;240290
240310;240310
240391;240391
240399;240399
250100;250100
250200;250200
250300;250310
250300;250390
250410;250410
250490;250490
250510;250510
250590;250590
250610;250610
250621;250621
250629;250629
250700;250700
250810;250810
250820;250820
250830;250830
250840;250840
250850;250850
250860;250860
250870;250870
250900;250900
251010;251010
251020;251020
251110;251110
251120;251120
251200;251200
251311;251311
251319;251319
251320;251321
251320;251329
251400;251400
251511;251511
251512;251512
251520;251520
251611;251611
251612;251612
251621;251621
251622;251622
251690;251690
251710;251710
251720;251720
251730;251730
251741;251741
251749;251749
251810;251810
251820;251820
251830;251830
251910;251910
251990;251990
252010;252010
252020;252020
252100;252100
252210;252210
252220;252220
252230;252230
252310;252310
252321;252321
252329;252329
252330;252330
252390;252390
252400;252400
252510;252510
252520;252520
252530;252530
252610;252610
252620;252620
252700;252700
252810;252810
252890;252890
252910;252910
252921;252921
252922;252922
252930;252930
253010;253010
253020;253020
253040;253040
253090;253030
253090;253090
260111;260111
260112;260112
260120;260120
260200;260200
260300;260300
260400;260400
260500;260500
260600;260600
260700;260700
260800;260800
260900;260900
261000;261000
261100;261100
261210;261210
261220;261220
261310;261310
261390;261390
261400;261400
261510;261510
261590;261590
261610;261610
261690;261690
261710;261710
261790;261790
261800;261800
261900;261900
262011;262011
262019;262019
262020;262020
262030;262030
262040;262040
262050;262050
262090;262090
262100;262100
270111;270111
270112;270112
270119;270119
270120;270120
270210;270210
270220;270220
270300;270300
270400;270400
270500;270500
270600;270600
270710;270710
270720;270720
270730;270730
270740;270740
270750;270750
270760;270760
270791;270791
270799;270799
270810;270810
270820;270820
270900;270900
271000;271000
271111;271111
271112;271112
271113;271113
271114;271114
271119;271119
271121;271121
271129;271129
271210;271210
271220;271220
271290;271290
271311;271311
271312;271312
271320;271320
271390;271390
271410;271410
271490;271490
271500;271500
271600;271600
280110;280110
280120;280120
280130;280130
280200;280200
280300;280300
280410;280410
280421;280421
280429;280429
280430;280430
280440;280440
280450;280450
280461;280461
280469;280469
280470;280470
280480;280480
280490;280490
280511;280511
280519;280519
280521;280521
280522;280522
280530;280530
280540;280540
280610;280610
280620;280620
280700;280700
280800;280800
280910;280910
280920;280920
281000;281000
281111;281111
281119;281119
281121;281121
281122;281122
281123;281123
281129;281129
281210;281210
281290;281290
281310;281310
281390;281390
281410;281410
281420;281420
281511;281511
281512;281512
281520;281520
281530;281530
281610;281610
281620;281620
281630;281630
281700;281700
281810;281810
281820;281820
281830;281830
281910;281910
281990;281990
282010;282010
282090;282090
282110;282110
282120;282120
282200;282200
282300;282300
282410;282410
282420;282420
282490;282490
282510;282510
282520;282520
282530;282530
282540;282540
282550;282550
282560;282560
282570;282570
282580;282580
282590;282590
282611;282611
282612;282612
282619;282619
282620;282620
282630;282630
282690;282690
282710;282710
282720;282720
282731;282731
282732;282732
282733;282733
282734;282734
282735;282735
282736;282736
282738;282738
282739;282737
282739;282739
282741;282741
282749;282749
282751;282751
282759;282759
282760;282760
282810;282810
282890;282890
282911;282911
282919;282919
282990;282990
283010;283010
283020;283020
283030;283030
283090;283090
283110;283110
283190;283190
283210;283210
283220;283220
283230;283230
283311;283311
283319;283319
283321;283321
283322;283322
283323;283323
283324;283324
283325;283325
283326;283326
283327;283327
283329;283329
283330;283330
283340;283340
283410;283410
283421;283421
283422;283422
283429;283429
283510;283510
283522;283522
283523;283523
283524;283524
283525;283525
283526;283526
283529;283521
283529;283529
283531;283531
283539;283539
283610;283610
283620;283620
283630;283630
283640;283640
283650;283650
283660;283660
283670;283670
283691;283691
283692;283692
283699;283693
283699;283699
283711;283711
283719;283719
283720;283720
283800;283800
283911;283911
283919;283919
283920;283920
283990;283990
284011;284011
284019;284019
284020;284020
284030;284030
284110;284110
284120;284120
284130;284130
284140;284140
284150;284150
284161;284160
284169;284160
284170;284170
284180;284180
284190;284190
284210;284210
284290;284290
284310;284310
284321;284321
284329;284329
284330;284330
284390;284390
284410;284410
284420;284420
284430;284430
284440;284440
284450;284450
284510;284510
284590;284590
284610;284610
284690;284690
284700;284700
284800;284810
284800;284890
284910;284910
284920;284920
284990;284990
285000;285000
285100;285100
290110;290110
290121;290121
290122;290122
290123;290123
290124;290124
290129;290129
290211;290211
290219;290219
290220;290220
290230;290230
290241;290241
290242;290242
290243;290243
290244;290244
290250;290250
290260;290260
290270;290270
290290;290290
290311;290311
290312;290312
290313;290313
290314;290314
290315;290315
290316;290316
290319;290319
290321;290321
290322;290322
290323;290323
290329;290329
290330;290330
290341;290340
290342;290340
290343;290340
290344;290340
290345;290340
290346;290340
290347;290340
290349;290340
290351;290351
290359;290359
290361;290361
290362;290362
290369;290369
290410;290410
290420;290420
290490;290490
290511;290511
290512;290512
290513;290513
290514;290514
290515;290515
290516;290516
290517;290517
290519;290519
290522;290522
290529;290521
290529;290529
290531;290531
290532;290532
290539;290539
290541;290541
290542;290542
290543;290543
290544;290544
290545;152090
290549;290490
290549;290549
290550;290550
290611;290611
290612;290612
290613;290613
290614;290614
290619;290619
290621;290621
290629;290629
290711;290711
290712;290712
290713;290713
290714;290714
290715;290715
290719;290719
290721;290721
290722;290722
290723;290723
290729;290729
290730;290730
290810;290810
290820;290820
290890;290890
290911;290911
290919;290919
290920;290920
290930;290930
290941;290941
290942;290942
290943;290943
290944;290944
290949;290949
290950;290950
290960;290960
291010;291010
291020;291020
291030;291030
291090;291090
291100;291100
291211;291211
291212;291212
291213;291213
291219;291219
291221;291221
291229;291229
291230;291230
291241;291241
291242;291242
291249;291249
291250;291250
291260;291260
291300;291300
291411;291411
291412;291412
291413;291413
291419;291419
291421;291421
291422;291422
291423;291423
291429;291429
291431;291430
291439;291430
291440;291441
291440;291449
291450;291450
291461;291461
291469;291469
291470;291470
291511;291511
291512;291512
291513;291513
291521;291521
291522;291522
291523;291523
291524;291524
291529;291529
291531;291531
291532;291532
291533;291533
291534;291534
291535;291535
291539;291539
291540;291540
291550;291550
291560;291560
291570;291570
291590;291590
291611;291611
291612;291612
291613;291613
291614;291614
291615;291615
291619;291619
291620;291620
291631;291631
291632;291632
291634;291633
291635;291633
291639;291639
291711;291711
291712;291712
291713;291713
291714;291714
291719;291719
291720;291720
291731;291731
291732;291732
291733;291733
291734;291734
291735;291735
291736;291736
291737;291737
291739;291739
291811;291811
291812;291812
291813;291813
291814;291814
291815;291815
291816;291816
291817;291817
291819;291819
291821;291821
291822;291822
291823;291823
291829;291829
291830;291830
291890;291890
291900;291900
292010;292010
292090;292090
292111;292111
292112;292112
292119;292119
292121;292121
292122;292122
292129;292129
292130;292130
292141;292141
292142;292142
292143;292143
292144;292144
292145;292145
292149;292149
292151;292151
292159;292159
292211;292211
292212;292212
292213;292213
292219;292219
292221;292221
292222;292222
292229;292229
292230;292230
292241;292241
292242;292242
292243;292249
292249;292249
292250;292250
292310;292310
292320;292320
292390;292390
292410;292410
292421;292421
292422;292429
292429;292429
292511;292511
292519;292519
292520;292520
292610;292610
292620;292620
292690;292690
292700;292700
292800;292800
292910;292910
292990;292990
293010;293010
293020;293020
293030;293030
293040;293040
293090;293090
293100;293100
293211;293211
293212;293212
293213;293213
293219;293219
293221;293221
293229;293229
293291;293290
293292;293290
293293;293290
293294;293290
293299;293290
293311;293311
293319;293319
293321;293321
293329;293329
293331;293331
293332;293339
293339;293339
293340;293340
293351;293351
293359;293359
293361;293361
293369;293369
293371;293371
293379;293379
293390;293390
293410;293410
293420;293420
293430;293430
293490;293359
293490;293490
293500;293500
293610;293610
293621;293621
293622;293622
293623;293623
293624;293624
293625;293625
293626;293626
293627;293627
293628;293628
293629;293629
293690;293690
293710;293710
293721;293721
293722;293722
293729;293729
293791;293791
293792;293792
293799;293799
293810;293810
293890;293890
293910;293910
293921;293921
293929;293929
293930;293930
293941;293940
293942;293940
293949;293940
293950;293950
293961;293960
293962;293960
293963;293960
293969;293960
293970;293970
293990;293990
294000;294000
294110;294110
294120;294120
294130;294130
294140;294140
294150;294150
294190;294190
294200;294200
300110;300110
300120;300120
300190;300190
300210;300210
300220;300220
300230;300231
300230;300239
300290;300290
300310;300310
300320;300320
300331;300331
300339;300339
300340;300340
300390;300390
300410;300410
300420;300420
300431;300431
300432;300432
300439;300439
300440;300440
300450;300450
300490;300490
300510;300510
300590;300590
300610;300610
300620;300620
300630;300630
300640;300640
300650;300650
300660;300660
310100;310100
310210;310210
310221;310221
310229;310229
310230;310230
310240;310240
310250;310250
310260;310260
310270;310270
310280;310280
310290;310290
310310;310310
310320;310320
310390;310390
310410;310410
310420;310420
310430;310430
310490;310490
310510;310510
310520;310520
310530;310530
310540;310540
310551;310551
310559;310559
310560;310560
310590;310590
320110;320110
320120;320120
320190;320130
320190;320190
320210;320210
320290;320290
320300;320300
320411;320411
320412;320412
320413;320413
320414;320414
320415;320415
320416;320416
320417;320417
320419;320419
320420;320420
320490;320490
320500;320500
320611;320610
320619;320610
320620;320620
320630;320630
320641;320641
320642;320642
320643;320643
320649;320649
320650;320650
320710;320710
320720;320720
320730;320730
320740;320740
320810;320810
320820;320820
320890;320890
320910;320910
320990;320990
321000;321000
321100;321100
321210;321210
321290;321290
321310;321310
321390;321390
321410;321410
321490;321490
321511;321511
321519;321519
321590;321590
330111;330111
330112;330112
330113;330113
330114;330114
330119;330119
330121;330121
330122;330122
330123;330123
330124;330124
330125;330125
330126;330126
330129;330129
330130;330130
330190;130211
330190;130212
330190;130213
330190;130214
330190;130219
330190;330190
330210;210690
330210;220810
330210;330210
330290;330290
330300;330300
330410;330410
330420;330420
330430;330430
330491;330491
330499;330499
330510;330510
330520;330520
330530;330530
330590;330590
330610;330610
330620;540210
330620;540232
330620;540241
330690;330690
330710;330710
330720;330720
330730;330730
330741;330741
330749;330749
330790;330790
340111;340111
340119;340119
340120;340120
340211;340211
340212;340212
340213;340213
340219;340219
340220;340220
340290;340290
340311;340311
340319;340319
340391;340391
340399;340399
340410;340410
340420;340420
340490;340490
340510;340510
340520;340520
340530;340530
340540;340540
340590;340590
340600;340600
340700;340700
350110;350110
350190;350190
350211;350210
350219;350210
350220;350290
350290;350290
350300;350300
350400;350400
350510;350510
350520;350520
350610;350610
350691;350691
350699;350699
350710;350710
350790;350790
360100;360100
360200;360200
360300;360300
360410;360410
360490;360490
360500;360500
360610;360610
360690;360690
370110;370110
370120;370120
370130;370130
370191;370191
370199;370199
370210;370210
370220;370220
370231;370231
370232;370232
370239;370239
370241;370241
370242;370242
370243;370243
370244;370244
370251;370251
370252;370252
370253;370253
370254;370254
370255;370255
370256;370256
370291;370291
370292;370292
370293;370293
370294;370294
370295;370295
370310;370310
370320;370320
370390;370390
370400;370400
370510;370510
370520;370520
370590;370590
370610;370610
370690;370690
370710;370710
370790;370790
380110;380110
380120;380120
380130;380130
380190;380190
380210;380210
380290;380290
380300;380300
380400;380400
380510;380510
380520;380520
380590;380590
380610;380610
380620;380620
380620;380690
380630;380630
380690;380690
380700;380700
380810;380810
380820;380820
380830;380830
380840;380840
380890;380890
380910;380910
380991;380991
380992;380992
380993;380993
380993;380999
381010;381010
381090;381090
381111;381111
381119;381119
381121;381121
381129;381129
381190;381190
381210;381210
381220;381220
381230;381230
381300;381300
381400;381400
381511;381511
381512;381512
381519;381519
381590;381590
381600;381600
381710;381710
381720;381720
381800;381800
381900;381900
382000;382000
382100;382100
382200;382200
382200;392190
382200;392690
382200;481190
382200;482390
382311;151911
382312;151912
382313;151913
382319;151919
382319;151920
382370;151930
382410;382310
382420;382320
382430;382330
382440;382340
382450;382350
382460;382360
382471;382390
382479;382390
382490;382390
390110;390110
390120;390120
390130;390130
390190;390190
390210;390210
390220;390220
390230;390230
390290;390290
390311;390311
390319;390319
390320;390320
390330;390330
390390;390390
390410;390410
390421;390421
390422;390422
390430;390430
390440;390440
390450;390450
390461;390461
390469;390469
390490;390490
390512;390511
390519;390519
390521;390511
390529;390519
390530;390520
390591;390590
390599;390590
390610;390610
390690;390690
390710;390710
390720;390720
390730;390730
390740;390740
390750;390750
390760;390760
390791;390791
390799;390799
390810;390810
390890;390890
390910;390910
390920;390920
390930;390930
390940;390940
390950;390950
391000;391000
391110;391110
391190;391190
391211;391211
391212;391212
391220;391220
391231;391231
391239;391239
391290;391290
391310;391310
391390;391390
391400;391400
391510;391510
391520;391520
391530;391530
391590;391590
391610;391610
391620;391620
391690;391690
391710;391710
391721;391721
391722;391722
391723;391723
391729;391729
391731;391731
391732;391732
391733;391733
391739;391739
391740;391740
391810;391810
391890;391890
391910;391910
391990;391990
392010;392010
392020;392020
392030;392030
392041;392041
392042;392042
392051;392051
392059;392059
392061;392061
392062;392062
392063;392063
392069;392069
392071;392071
392072;392072
392073;392073
392079;392079
392091;392091
392092;392092
392093;392093
392094;392094
392099;392099
392111;392111
392112;392112
392113;392113
392114;392114
392119;392119
392190;392190
392210;392210
392220;392220
392290;392290
392310;392310
392321;392321
392329;392329
392330;392330
392340;392340
392350;392350
392390;392390
392410;392410
392490;392490
392510;392510
392520;392520
392530;392530
392590;392590
392610;392610
392620;392620
392630;392630
392640;392640
392690;392690
400110;400110
400121;400121
400122;400122
400129;400129
400130;400130
400211;400211
400219;400219
400220;400220
400231;400231
400239;400239
400241;400241
400249;400249
400251;400251
400259;400259
400260;400260
400270;400270
